51300016972,ffc,174,60
51300022687,gge,235,130
51300065894,eff,247,248
51300071273,cdg,184,257
51300186007,dde,247,148
51300240020,dae,58,15
51300249523,bdd,269,47
51300300822,gcd,15,195
51300307413,caf,282,245
51300316447,gga,203,17
51300355333,gga,169,16
51300366884,dcc,266,73
51300508625,bbc,142,233
51300532454,gba,210,115
51300648438,fcd,130,240
51300651485,adc,221,212
51300668104,ebe,183,119
51300668916,bdf,169,93
51300684109,aeg,130,195
51300731640,abe,252,171
51300755122,gdc,260,271
51300827995,cgf,274,5
51300871276,fgg,121,272
51300874815,deg,102,29
51300903597,eac,61,153
51300903912,aca,207,97
51301013104,egb,175,204
51301031908,eaf,140,129
51301114459,gba,192,121
51301194820,bbe,206,45
51301212803,efb,21,184
51301214822,fef,259,39
51301238128,acf,242,29
51301260984,gcb,63,120
51301273985,dec,130,20
51301286235,ggc,23,94
51301290302,ffc,185,49
51301322331,ebf,184,52
51301342937,egb,43,214
51301377539,gea,183,155
51301427641,fgc,158,23
51301446179,dga,159,227
51301447120,cae,230,189
51301451845,gcd,287,206
51301461530,cbb,28,204
51301515014,gfc,222,286
51301551851,dff,99,82
51301574008,gbc,215,110
51301601718,dfe,227,210
51301611471,cfg,58,132
51301732802,eee,58,118
51301735124,ccb,26,44
51301771527,cbg,148,11
51301776978,ffd,12,217
51301824930,ddd,107,90
51301853405,fdf,200,195
51301869847,bcf,142,61
51301888566,dfb,218,64
51301964062,fea,104,230
51301966788,eff,74,245
51301988971,gda,13,229
51302007565,fcc,92,86
51302052642,bfc,267,40
51302069579,fbb,136,126
51302096658,bbg,299,195
51302103463,ace,177,60
51302116210,gdg,218,171
51302203886,gcd,65,226
51302207230,fge,63,77
51302209892,dce,33,68
51302257803,cdb,208,162
51302260394,fge,246,66
51302265426,baf,236,14
51302267009,gga,251,16
51302281219,geg,217,157
51302305303,fea,290,190
51302388485,feb,238,97
51302479369,bad,248,32
51302484286,aec,282,208
51302548439,bef,199,217
51302558415,fca,36,149
51302629543,bfa,266,153
51302634209,ged,95,71
51302657214,abg,186,57
51302663304,ebb,55,136
51302673607,ecf,202,105
51302698386,eff,119,208
51302718604,edb,233,132
51302752638,gcd,7,232
51302792262,gce,7,242
51302794986,dba,4,251
51302802785,bge,197,214
51302818717,dee,254,85
51302820677,egg,67,74
51302821705,ccd,276,43
51302833201,acf,210,27
51302836504,faa,202,151
51302843571,dfc,203,87
51302844698,fde,151,199
51302861804,aba,7,127
51302862287,dfd,294,112
51302866009,cfg,179,150
51302894815,bed,120,89
51302926222,fgf,8,148
51302952535,ebd,295,257
51302975884,bac,74,249
51302998255,gad,95,93
51303012398,bca,226,215
51303060498,gdd,212,271
51303080904,acd,203,200
51303099260,dfa,190,54
51303102215,gcg,35,251
51303122922,cba,268,7
51303147447,bfb,148,289
51303187618,dfe,125,237
51303195026,ebe,241,99
51303219357,ddg,16,240
51303220917,dfc,180,88
51303233978,aag,85,19
51303320609,adf,64,241
51303322739,fbb,209,122
51303379428,aeb,113,259
51303381598,gfb,109,225
51303406179,bdc,72,257
51303440589,dcb,203,115
51303443251,adb,105,260
51303455662,ffg,278,148
51303480634,aba,45,105
51303518885,dcd,164,277
51303525408,bag,289,165
51303553067,gge,27,105
51303584563,dfg,252,248
51303592404,fgf,206,153
51303622169,ccf,94,86
51303659011,aed,29,205
51303680615,cff,203,215
51303688574,eda,262,59
51303697468,bbf,228,238
51303717964,fcf,253,72
51303753060,gcd,6,252
51303787721,age,243,186
51303800018,bag,57,174
51303805126,bad,61,29
51303823109,agg,269,228
51303849321,egg,18,72
51303879876,gfe,76,23
51303889854,fcg,112,89
51303901552,ceg,65,144
51303937258,cda,51,201
51303940069,ffe,110,201
51303941598,ggb,8,21
51303955528,fdc,106,157
51303967188,ecg,87,174
51303970056,cgb,40,116
51303976589,gcd,178,282
51303994305,abb,101,102
51303996494,cge,69,214
51304000444,gba,223,133
51304002693,aca,232,99
51304104363,bdf,165,104
51304112114,aea,152,92
51304141074,cdc,222,131
51304164791,dec,254,16
51304170539,bae,9,299
51304178422,aec,68,237
51304231995,cab,218,296
51304279271,efg,32,272
51304286985,ded,177,229
